"vehicle_id","route_id","route_short_name","destination","x_lon","y_lat","captured_at_jst","current_status","stop_name"
"K258","050","東16","東京ビッグサイト","139.780258","35.675846","2026-05-08 11:25:58","IN_TRANSIT_TO","新川"
"D111","050","東16","東京ビッグサイト","139.79277","35.658676","2026-05-08 11:25:58","IN_TRANSIT_TO","ＩＨＩ前"
"G710","050","東16","東京ビッグサイト","139.80191","35.647064","2026-05-08 11:25:58","IN_TRANSIT_TO","東雲一丁目"
"M453","050","東16","東京ビッグサイト","139.793686","35.639725","2026-05-08 11:25:58","IN_TRANSIT_TO","かえつ学園西"
"F652","050","東16","東京ビッグサイト","139.789566","35.629425","2026-05-08 11:25:58","IN_TRANSIT_TO","フェリー埠頭入口"
"F650","050","東16","東京駅八重洲口","139.78746","35.63068","2026-05-08 11:25:58","IN_TRANSIT_TO","武蔵野大学前"
"E120","050","東16","東京駅八重洲口","139.80159","35.646797","2026-05-08 11:25:58","IN_TRANSIT_TO","東雲一丁目"
"F654","050","東16","東京駅八重洲口","139.793228","35.657604","2026-05-08 11:25:58","IN_TRANSIT_TO","ＩＨＩ前"
"M451","050","東16","東京駅八重洲口","139.785034","35.669006","2026-05-08 11:25:58","IN_TRANSIT_TO","リバーシティ２１"
"G712","050","東16","深川車庫前","139.783203","35.673397","2026-05-08 11:25:58","IN_TRANSIT_TO","住友ツインビル前"
"F141","052","門19","門前仲町","139.793518","35.660591","2026-05-08 11:25:58","IN_TRANSIT_TO","豊洲一丁目"
"X274","052","門19","東京ビッグサイト","139.804276","35.640858","2026-05-08 11:25:58","IN_TRANSIT_TO","東雲駅前"
"D114","056","西葛20甲","なぎさニュータウン","139.869888","35.654175","2026-05-08 11:25:58","IN_TRANSIT_TO","葛西南高校前"
"Z543","056","西葛20甲","西葛西駅前","139.8685","35.655876","2026-05-08 11:25:58","IN_TRANSIT_TO","新田"
"H976","057","西葛20乙","葛西臨海公園駅前","139.861191","35.657364","2026-05-08 11:25:58","IN_TRANSIT_TO","新田住宅"
"B774","057","西葛20乙","西葛西駅前","139.862228","35.643967","2026-05-08 11:25:58","IN_TRANSIT_TO","葛西臨海公園駅前"
"Z525","059","門21","門前仲町","139.802185","35.675171","2026-05-08 11:25:58","IN_TRANSIT_TO","冬木"
"Z527","059","門21","東大島駅前","139.838226","35.675785","2026-05-08 11:25:58","IN_TRANSIT_TO","東砂四丁目"
"L183","058","亀21","亀戸駅前","139.83728","35.675735","2026-05-08 11:25:58","IN_TRANSIT_TO","東砂四丁目"
"E525","058","亀21","東陽町駅前","139.837509","35.6698","2026-05-08 11:25:58","IN_TRANSIT_TO","元八幡"
"G727","060","新小21","新小岩駅前","139.859055","35.664135","2026-05-08 11:25:58","IN_TRANSIT_TO","西葛西駅前"
"W396","060","新小21","新小岩駅前","139.853226","35.677101","2026-05-08 11:25:58","IN_TRANSIT_TO","六軒町"
"L361","060","新小21","新小岩駅前","139.864288","35.683411","2026-05-08 11:25:58","IN_TRANSIT_TO","船堀駅前"
"Z551","060","新小21","新小岩駅前","139.867691","35.695301","2026-05-08 11:25:58","IN_TRANSIT_TO","東小松川二丁目"
"F660","060","新小21","新小岩駅前","139.86145","35.714909","2026-05-08 11:25:58","IN_TRANSIT_TO","新小岩一丁目"
"Z557","060","新小21","西葛西駅前","139.864243","35.712532","2026-05-08 11:25:58","IN_TRANSIT_TO","松島三丁目"
"E129","060","新小21","西葛西駅前","139.867874","35.706993","2026-05-08 11:25:58","IN_TRANSIT_TO","江戸川区役所前"
"E483","060","新小21","西葛西駅前","139.866699","35.689281","2026-05-08 11:25:58","IN_TRANSIT_TO","松江第一中学校前"
"W398","060","新小21","西葛西駅前","139.853333","35.67395","2026-05-08 11:25:58","IN_TRANSIT_TO","小島"
"W463","062","里22","亀戸駅前","139.777466","35.728756","2026-05-08 11:25:58","IN_TRANSIT_TO","東日暮里三丁目"
"B797","062","里22","亀戸駅前","139.806213","35.728497","2026-05-08 11:25:58","IN_TRANSIT_TO","橋場二丁目"
"B799","062","里22","亀戸駅前","139.825562","35.702461","2026-05-08 11:25:58","IN_TRANSIT_TO","亀戸四丁目"
"M433","062","里22","日暮里駅前","139.826645","35.713703","2026-05-08 11:25:58","IN_TRANSIT_TO","中居堀"
"G737","062","里22","日暮里駅前","139.798889","35.728855","2026-05-08 11:25:58","IN_TRANSIT_TO","泪橋"
"E538","062","里22","南千住車庫前","139.787247","35.733276","2026-05-08 11:25:58","IN_TRANSIT_TO","荒川一丁目"
"C261","061","葛西21","葛西臨海公園駅前","139.879776","35.659424","2026-05-08 11:25:58","IN_TRANSIT_TO","東葛西六丁目"
"E503","061","葛西21","葛西臨海公園駅前","139.875824","35.646393","2026-05-08 11:25:58","IN_TRANSIT_TO","南葛西会館前"
"E487","061","葛西21","葛西駅前","139.875717","35.646397","2026-05-08 11:25:58","IN_TRANSIT_TO","南葛西会館前"
"K289","061","葛西21","葛西駅前","139.876389","35.659634","2026-05-08 11:25:58","IN_TRANSIT_TO","第二葛西小学校入口"
"F668","066","葛西22","葛西駅前","139.887085","35.680744","2026-05-08 11:25:58","IN_TRANSIT_TO","今井児童交通公園前"
"B761","063","東22","東陽町駅前","139.814301","35.695889","2026-05-08 11:25:58","IN_TRANSIT_TO","錦糸町駅前"
"F619","063","東22","東陽町駅前","139.816055","35.67836","2026-05-08 11:25:58","IN_TRANSIT_TO","千石二丁目(せんごくにちょうめ（こうとうく）)"
"H969","063","東22","錦糸町駅前","139.815933","35.675179","2026-05-08 11:25:58","IN_TRANSIT_TO","豊住橋"
"E509","063","東22","錦糸町駅前","139.81601","35.683388","2026-05-08 11:25:58","IN_TRANSIT_TO","扇橋二丁目"
"G792","063","東22","東京駅丸の内北口","139.816086","35.685825","2026-05-08 11:25:58","IN_TRANSIT_TO","猿江二丁目"
"W437","063","東22","東京駅丸の内北口","139.803436","35.669418","2026-05-08 11:25:58","IN_TRANSIT_TO","木場二丁目"
"A597","063","東22","東京駅丸の内北口","139.774475","35.682095","2026-05-08 11:25:58","IN_TRANSIT_TO","日本橋"
"W441","063","東22","錦糸町駅前","139.785233","35.677162","2026-05-08 11:25:58","IN_TRANSIT_TO","永代橋"
"B759","063","東22","錦糸町駅前","139.813736","35.669556","2026-05-08 11:25:58","IN_TRANSIT_TO","東陽操車所前"
"E492","063","東22","錦糸町駅前","139.815414","35.691303","2026-05-08 11:25:58","IN_TRANSIT_TO","毛利二丁目"
"L365","068","新小22","新小岩駅前","139.872879","35.663258","2026-05-08 11:25:58","IN_TRANSIT_TO","葛西駅前"
