vehicle_id,route_id,route_short_name,route_display_name,route_label,destination,trip_id,pattern_id,stop_id,stop_name,next_stop_name,current_stop_name,current_status,timestamp,feed_timestamp,source,longitude,latitude
B722,127,飯64,飯64 小滝橋車庫前行,飯64,小滝橋車庫前,16001-3-29-170-2136,16001,0079-01,飯田橋,飯田橋,,IN_TRANSIT_TO,1777641557,1777641609,odpt,139.744339,35.703259
C212,127,飯64,飯64 早稲田行,飯64,早稲田,16003-1-29-170-2209,16003,1174-04,西早稲田,西早稲田,,IN_TRANSIT_TO,1777641584,1777641609,odpt,139.71582,35.70961
D923,130,渋66,渋66 杉並車庫前行,渋66,杉並車庫前,24203-2-21-170-2146,24203,1390-01,方南八幡通り,方南八幡通り,,IN_TRANSIT_TO,1777641532,1777641609,odpt,139.656693,35.682892
K225,131,上69,上69 小滝橋車庫前行,上69,小滝橋車庫前,16103-3-29-170-2149,16103,1410-03,本郷三丁目駅前,本郷三丁目駅前,,IN_TRANSIT_TO,1777641533,1777641609,odpt,139.759705,35.707546
A591,131,上69,上69 小滝橋車庫前行,上69,小滝橋車庫前,16103-3-29-170-2123,16103,0961-01,伝通院前,伝通院前,,IN_TRANSIT_TO,1777641551,1777641609,odpt,139.746307,35.710026
D300,131,上69,上69 小滝橋車庫前行,上69,小滝橋車庫前,16103-3-29-170-2057,16103,1009-01,新宿区社会福祉協議会前,新宿区社会福祉協議会前,,IN_TRANSIT_TO,1777641534,1777641609,odpt,139.707306,35.712032
C221,129,池65,池65 練馬車庫前行,池65,練馬車庫前,44001-2-37-170-2150,44001,1034-01,豊玉中二丁目,豊玉中二丁目,,IN_TRANSIT_TO,1777641550,1777641609,odpt,139.659485,35.731163
B729,147,早77,早77 早稲田行,早77,早稲田,20201-2-33-170-2200,20201,1051-01,早大理工前,早大理工前,,IN_TRANSIT_TO,1777641593,1777641609,odpt,139.708725,35.706402
B724,148,王78,王78 杉並車庫前行,王78,杉並車庫前,24103-2-21-170-2210,24103,0200-02,王子四丁目,王子四丁目,,IN_TRANSIT_TO,1777641539,1777641609,odpt,139.737045,35.761971
E403,148,王78,王78 杉並車庫前行,王78,杉並車庫前,24103-2-21-170-2142,24103,0478-01,高円寺駅入口,高円寺駅入口,,IN_TRANSIT_TO,1777641591,1777641609,odpt,139.654938,35.704906
A603,152,池86,池86 池袋駅東口行,池86,池袋駅東口,20005-3-33-170-2048,20005,0404-01,北参道,北参道,,IN_TRANSIT_TO,1777641504,1777641609,odpt,139.70462,35.679394
V331,153,田87,田87 渋谷駅前行,田87,渋谷駅前,08301-2-09-172-2213,8301,0444-07,魚籃坂下,魚籃坂下,,IN_TRANSIT_TO,1777641544,1777641609,odpt,139.737,35.644196
V328,153,田87,田87 渋谷駅前行,田87,渋谷駅前,08301-2-09-172-2201,8301,0188-02,恵比寿四丁目,恵比寿四丁目,,IN_TRANSIT_TO,1777641407,1777641609,odpt,139.716705,35.645515
H853,157,品91,品91 八潮公園前行,品91,八潮公園前,01010-1-01-170-2200,1010,2012-01,八潮北,八潮北,,IN_TRANSIT_TO,1777641543,1777641609,odpt,139.752304,35.602287
